id,Source,Target,label
598,Robert Morris,Horatio Gates,Horatio Gates
599,Francis Lightfoot Lee,Landon Carter,Landon Carter
600,Joseph Hewes,Samuel Johnston,Samuel Johnston
601,Oliver Wolcott,Mrs. Wolcott,Mrs. Wolcott
602,John Hancock, New Hampshire Assembly, New Hampshire Assembly
603,William Whipple,Meshech Weare,Meshech Weare
604,Maryland Delegates, Maryland Council of Safety, Maryland Council of Safety
605,Thomas McKean,Philip Schuyler,Philip Schuyler
606,Carter Braxton,Landon Carter,Landon Carter
607,Benjamin Franklin,Josiah Quincy,Josiah Quincy
608,John Hancock,Israel Putnam,Israel Putnam
609,John Hancock, Maryland Council of Safety, Maryland Council of Safety
610,John Hancock, Baltimore Committee, Baltimore Committee
611,John Adams,James Warren,James Warren
612,James Duane,Walter Livingston,Walter Livingston
613,Oliver Wolcott,Samuel Lyman,Samuel Lyman
614,Thomas Johnson jr., Maryland Council of Safety, Maryland Council of Safety
615,Oliver Wolcott,Mrs. Wolcott,Mrs. Wolcott
616,Maryland Delegates, Maryland Council of Safety, Maryland Council of Safety
617,William Whipple,John Langdon,John Langdon
618,Richard Henry Lee,Charles Lee,Charles Lee
619,Thomas Johnson jr.,Daniel of St. Thomas Jenifer,Daniel of St. Thomas Jenifer
620,John Hancock,George Washington,George Washington
621,John Hancock,Artemas Ward,Artemas Ward
622,John Hancock,Joseph Frye,Joseph Frye
623,Thomas Stone,Daniel of St. Thomas Jenifer,Daniel of St. Thomas Jenifer
624,Maryland Delegates, Maryland Council of Safety, Maryland Council of Safety
625,John Jay, New York Committee of Safety, New York Committee of Safety
626,John Adams,Horatio Gates,Horatio Gates
627,John Adams,Mrs. Adams,Mrs. Adams
628,William Whipple,John Langdon,John Langdon
629,Samuel Adams,John Scollay,John Scollay
630,John Hancock, Massachusetts Council, Massachusetts Council
631,James Duane, New York Convention, New York Convention
632,Elbridge Gerry,James Warren,James Warren
633,John Hancock,George Washington,George Washington
634,New York Delegates, New York Committee of Safety, New York Committee of Safety
635,Richard Henry Lee,Samuel Purviance jr.,Samuel Purviance jr.
636,John Hancock,Esek Hopkins,Esek Hopkins
637,William Floyd,John McKesson,John McKesson
638,Richard Henry Lee,Charles Lee,Charles Lee
639,James Duane,John Jay,John Jay
640,John Hancock,Joseph Trumbull,Joseph Trumbull
641,Samuel Adams,James Warren,James Warren
642,John Hancock,George Washington,George Washington
643,John Adams,James Warren,James Warren
644,Stephen Hopkins,Nicholas Cooke,Nicholas Cooke
645,Samuel Adams,George Washington,George Washington
646,Joseph Hewes,Samuel Johnston,Samuel Johnston
647,Oliver Wolcott,Samuel Lyman,Samuel Lyman
648,Oliver Wolcott,Mrs. Wolcott,Mrs. Wolcott
649,John Hancock,George Washington,George Washington
650,John Hancock, Massachusetts Assembly, Massachusetts Assembly
651,Secret Committee,George Washington,George Washington
652,William Whipple,Meshech Weare,Meshech Weare
653,James Duane,John Jay,John Jay
654,John Adams,Mrs. Adams,Mrs. Adams
655,Carter Braxton,Landon Carter,Landon Carter
656,Thomas Jefferson,John Page,John Page
657,Joseph Hewes,James Iredell,James Iredell
658,Caesar Rodney,Thomas Rodney,Thomas Rodney
659,William Whipple,Meshech Weare,Meshech Weare
660,Richard Henry Lee,Charles Lee,Charles Lee
661,William Whipple,John Langdon,John Langdon
662,Joseph Hewes,William Tokeley,William Tokeley
663,Josiah Bartlett,John Langdon,John Langdon
664,William Whipple,John Langdon,John Langdon
665,Elbridge Gerry,James Warren,James Warren
666,John Adams,James Warren,James Warren
667,Richard Henry Lee,Charles Lee,Charles Lee
668,Caesar Rodney,Thomas Rodney,Thomas Rodney
669,John Hancock,Mrs. Susannah Connolly,Mrs. Susannah Connolly
670,John Hancock,John Thomas,John Thomas
671,James Duane,John Jay,John Jay
672,John Hancock, Officer Commanding in Philadelphia, Officer Commanding in Philadelphia
673,John Hancock, Officer Commanding in Philadelphia, Officer Commanding in Philadelphia
674,Joseph Hewes,Samuel Johnston,Samuel Johnston
675,William Whipple,John Langdon,John Langdon
676,New Hampshire Delegates,Meshech Weare,Meshech Weare
677,Caesar Rodney,Thomas Rodney,Thomas Rodney
678,John Adams,Benjamin Hichborn,Benjamin Hichborn
679,Elbridge Gerry,Joseph Palmer,Joseph Palmer
680,Richard Henry Lee,Landon Carter,Landon Carter
681,William Whipple,John Langdon,John Langdon
682,Josiah Bartlett,John Langdon,John Langdon
683,Massachusetts Delegates, President of Massachusetts Council, President of Massachusetts Council
684,John Adams,Patrick Henry,Patrick Henry
685,John Hancock,George Washington,George Washington
686,New Hampshire Delegates,Meshech Weare,Meshech Weare
687,Joseph Hewes,Samuel Johnston,Samuel Johnston
688,John Hancock, New Hampshire Convention, New Hampshire Convention
689,William Whipple,John Langdon,John Langdon
690,Samuel Adams,James Warren,James Warren
691,Josiah Bartlett,Nathaniel Folsom,Nathaniel Folsom
692,John Hancock,George Washington,George Washington
693,Edward Rutledge,John Jay,John Jay
694,New York Delegates,Nathaniel Woodhull,Nathaniel Woodhull
695,Elbridge Gerry,Joseph Trumbull,Joseph Trumbull
696,John Adams,William Cushing,William Cushing
697,William Whipple,John Langdon,John Langdon
698,Samuel Adams,Horatio Gates,Horatio Gates
699,Josiah Bartlett,John Langdon,John Langdon
700,John Hancock,George Washington,George Washington
701,John Hancock,George Washington,George Washington
702,John Hancock, Massachusetts Assembly, Massachusetts Assembly
703,New Hampshire Delegates,Meshech Weare,Meshech Weare
704,Oliver Wolcott,Mrs. Wolcott,Mrs. Wolcott
705,Elbridge Gerry,James Warren,James Warren
706,John Hancock, New York Convention, New York Convention
707,Maryland Delegates, Maryland Council of Safety, Maryland Council of Safety
708,Richard Henry Lee,George Washington,George Washington
709,Samuel Chase,Horatio Gates,Horatio Gates
710,John Hancock,Charles Preston,Charles Preston
711,John Hancock, Pennsylvania Committee of Safety, Pennsylvania Committee of Safety
712,John Hancock,George Washington,George Washington
713,John Hancock,Esek Hopkins,Esek Hopkins
714,John Hancock,William Palfrey,William Palfrey
715,John Adams,Samuel Chase,Samuel Chase
716,Maryland Delegates, Maryland Council of Safety, Maryland Council of Safety
717,Oliver Wolcott,Mrs. Wolcott,Mrs. Wolcott
718,John Adams,Mrs. Adams,Mrs. Adams
719,John Adams,James Warren,James Warren
720,New York Delegates,Nathaniel Wcodhull,Nathaniel Wcodhull
721,Josiah Bartlett,John Langdon,John Langdon
722,William Whipple,John Langdon,John Langdon
723,John Hancock,George Washington,George Washington
724,John Adams,Horatio Gates,Horatio Gates
725,Elbridge Gerry,Joseph Trumbull,Joseph Trumbull
726,Elbridge Gerry,Joseph Trumbull,Joseph Trumbull
727,Robert Morris,Memorandum,Memorandum
728,Benjamin Franklin,George Washington,George Washington
729,John Hancock, New York Convention, New York Convention
730,Elbridge Gerry,John Wendell,John Wendell
731,John Adams,Zabdiel Adams,Zabdiel Adams
732,John Adams,Benjamin Kent,Benjamin Kent
733,John Adams,John Winthrop,John Winthrop
734,John Adams,Samuel Chase,Samuel Chase
735,William Whipple,John Langdon,John Langdon
736,Elbridge Gerry,Joseph Trumbull,Joseph Trumbull
737,Elbridge Gerry,Horatio Gates,Horatio Gates
738,George Clinton,John McKesson,John McKesson
739,Elbridge Gerry,James Warren,James Warren
740,John Hancock,George Washington,George Washington
741,Joseph Hewes,Samuel Purviance jr.,Samuel Purviance jr.
742,John Hancock, New York Convention, New York Convention
743,George Clinton,John McKesson,John McKesson
744,Josiah Bartlett,John Langdon,John Langdon
745,John Hancock,George Washington,George Washington
746,John Adams,Mrs. Adams,Mrs. Adams
747,New York Delegates, New York Provincial Congress, New York Provincial Congress
748,Joseph Hewes,James Iredell,James Iredell
749,John Penn,Thomas Person,Thomas Person
750,Richard Henry Lee,Charles Lee,Charles Lee
751,Edward Rutledge,John Jay,John Jay
752,John Hancock,George Washington,George Washington
753,Francis Lightfoot Lee,Richard Henry Lee,Richard Henry Lee
754,Josiah Bartlett,John Langdon,John Langdon
755,Oliver Wolcott,Matw Griswold,Matw Griswold
756,John Adams,Archibald Bulloch,Archibald Bulloch
757,John Adams,Samuel Chase,Samuel Chase
758,New York Delegates, New York Provincial Congress, New York Provincial Congress
759,Henry Wisner, New York Provincial Congress, New York Provincial Congress
