id,Label,Source,Target,Type,Timestamp
4934, Pennsylvania Delegates, Pennsylvania Delegates,Benjamin Franklin,Directed,1787-03-02
4935,Cyrus Griffin,Cyrus Griffin,Thomas FitzSimons,Directed,1787-03-03
4936,James Madison,James Madison,Edmund Randolph,Directed,1787-03-03
4937,Nicholas Gilman,Nicholas Gilman,John Langdon,Directed,1787-03-06
4938,Nathan Dane,Nathan Dane,Samuel Holten,Directed,1787-03-15
4939,Cyrus Griffin,Cyrus Griffin,James Madison,Directed,1787-03-17
4940,William Irvine,William Irvine,Thomas FitzSimons,Directed,1787-03-17
4941,Nicholas Gilman,Nicholas Gilman,John Sullivan,Directed,1787-03-22
4942,Nicholas Gilman,Nicholas Gilman,John Sullivan,Directed,1787-03-23
4943, Virginia Delegates, Virginia Delegates,Edmund Randolph,Directed,1787-03-23
4944,Cyrus Griffin,Cyrus Griffin,James Madison,Directed,1787-03-24
4945,Pierpont Edwards,Pierpont Edwards,Jeremiah Wadsworth,Directed,1787-03-26
4946,Paine Wingate,Paine Wingate,Timothy Pickering,Directed,1787-03-29
4947,Pierpont Edwards,Pierpont Edwards,Jeremiah Wadsworth,Directed,1787-03-31
4948,Abraham Baldwin,Abraham Baldwin,Joseph Clay,Directed,1787-03-31
4949, Virginia Delegates, Virginia Delegates,Edmund Randolph,Directed,1787-04-03
4950,Samuel Alleyne Otis,Samuel Alleyne Otis,George Thatcher,Directed,1787-04-06
4951,Cyrus Griffin,Cyrus Griffin,James Madison,Directed,1787-04-07
4952,James Madison,James Madison,George Nicholas,Directed,1787-04-08
4953,John Brown,John Brown,James Madison,Directed,1787-04-09
4954,Charles Thomson,Charles Thomson,Arthur St. Clair,Directed,1787-04-11
4955,Paine Wingate,Paine Wingate,Samuel Lane,Directed,1787-04-12
4956,Samuel Alleyne Otis,Samuel Alleyne Otis,George Thatcher,Directed,1787-04-13
4957,Cyrus Griffin,Cyrus Griffin,James Madison,Directed,1787-04-14
4958,Cyrus Griffin,Cyrus Griffin,Samuel Johnston,Directed,1787-04-14
4959,Charles Pettit,Charles Pettit,Benjamin Franklin,Directed,1787-04-14
4960,Charles Thomson,Charles Thomson,James McHenry,Directed,1787-04-19
4961,Nicholas Gilman,Nicholas Gilman,John Sullivan,Directed,1787-04-19
4962,Nathan Dane,Nathan Dane,George Thatcher,Directed,1787-04-20
4963, Virginia Delegates, Virginia Delegates,William Heth,Directed,1787-04-20
4964,Abraham Baldwin,Abraham Baldwin,Thomas Jefferson,Directed,1787-04-20
4965,James White,James White,Samuel Johnston,Directed,1787-04-21
4966,Paine Wingate,Paine Wingate,John Sullivan,Directed,1787-04-23
4967,George Thatcher,George Thatcher,Pierse Long,Directed,1787-04-23
4968,Edward Carrington,Edward Carrington,Thomas Jefferson,Directed,1787-04-24
4969,Cyrus Griffin,Cyrus Griffin,James Madison,Directed,1787-04-28
4970,Cyrus Griffin,Cyrus Griffin,Thomas FitzSimons,Directed,1787-04-30
4971,Charles Thomson,Charles Thomson,John Collins,Directed,1787-05-03
4972,Paine Wingate,Paine Wingate,John Sullivan,Directed,1787-05-03
4973,Cyrus Griffin,Cyrus Griffin,James Madison,Directed,1787-05-05
4974,James Randolph Reid,James Randolph Reid,Peter Muhlenberg,Directed,1787-05-05
4975,Samuel Alleyne Otis,Samuel Alleyne Otis,Benjamin Lincoln,Directed,1787-05-08
4976, Virginia Delegates, Virginia Delegates,Edmund Randolph,Directed,1787-05-08
4977, President of Congress (Cyrus Griffin), President of Congress (Cyrus Griffin),Samuel Johnston,Directed,1787-05-08
4978,Cyrus Griffin,Cyrus Griffin,James Madison,Directed,1787-05-12
4979,Charles Thomson,Charles Thomson, Several States,Directed,1787-05-12
4980,John Brown,John Brown,James Madison,Directed,1787-05-12
4981,James Madison,James Madison,George Nicholas,Directed,1787-05-17
4982,Samuel Alleyne Otis,Samuel Alleyne Otis,George Thatcher,Directed,1787-05-18
4983,Cyrus Griffin,Cyrus Griffin,James Madison,Directed,1787-05-19
4984,Cyrus Griffin,Cyrus Griffin,Thomas FitzSimons,Directed,1787-05-26
4985,Cyrus Griffin,Cyrus Griffin,James Madison,Directed,1787-05-26
4986,Hugh Williamson,Hugh Williamson,Samuel Johnston,Directed,1787-05-26
4987, Massachusetts Delegates, Massachusetts Delegates,John Hancock,Directed,1787-05-27
4988,Edward Carrington,Edward Carrington,James Madison,Directed,1787-05-28
4989,James Randolph Reid,James Randolph Reid,William Irvine,Directed,1787-05-30
4990,John Armstrong jr.,John Armstrong jr.,to Horatio Gates,Directed,1787-05-30
4991,Hugh Williamson,Hugh Williamson,Samuel Johnston,Directed,1787-05-30
4992,Edward Carrington,Edward Carrington,James Madison,Directed,1787-05-31
4993,Paine Wingate,Paine Wingate,Samuel I-ane,Directed,1787-06-02
4994,Hugh Williamson,Hugh Williamson,James Madison,Directed,1787-06-02
4995,Hugh Williamson,Hugh Williamson,John Gray Blount,Directed,1787-06-03
4996, Rhode Island Delegates, Rhode Island Delegates,John Collins,Directed,1787-06-05
4997, Rhode Island Delegates, Rhode Island Delegates,John Collins,Directed,1787-06-06
4998, Pennsylvania Delegates, Pennsylvania Delegates,Benjamin Franklin,Directed,1787-06-06
4999,John Brown,John Brown,James Madison,Directed,1787-06-07
5000,Edward Carrington,Edward Carrington,Edmund Randolph,Directed,1787-06-09
5001,Edward Carrington,Edward Carrington,Thomas Jefferson,Directed,1787-06-09
5002,Charles Thomson,Charles Thomson,George Maws,Directed,1787-06-10
5003,Hugh Williamson,Hugh Williamson,James Iredell,Directed,1787-06-11
5004,Edward Carrington,Edward Carrington,James Wilson,Directed,1787-06-17
5005,Abraham Baldwin,Abraham Baldwin,Ebenezer Hazard,Directed,1787-06-17
5006,William Bingham,William Bingham,John Nicholson,Directed,1787-06-18
5007,Edward Carrington,Edward Carrington,Edmund Randolph,Directed,1787-06-19
5008,Nathaniel Gorham,Nathaniel Gorham,Nathan Dane,Directed,1787-06-23
5009,Edward Carrington,Edward Carrington,Edmund Randolph,Directed,1787-06-25
5010,Edward Carrington,Edward Carrington,James Madison,Directed,1787-06-25
5011,John Brown,John Brown,Archibald Stuart,Directed,1787-06-25
5012,Paine Wingate,Paine Wingate,Samuel Lane,Directed,1787-06-26
5013, New Hampshire Delegates, New Hampshire Delegates,John Langdon,Directed,1787-07-02
5014,Charles Thomson,Charles Thomson,Samuel McDowell,Directed,1787-07-03
5015,odore Sedgwick,odore Sedgwick,Nathan Dane,Directed,1787-07-03
5016, Pennsylvania Delegates, Pennsylvania Delegates,John Nicholson,Directed,1787-07-07
5017, Pennsylvania Delegates, Pennsylvania Delegates, Board of Treasury,Directed,1787-07-07
5018,John Swann,John Swann,James Iredell,Directed,1787-07-07
5019,Peleg Arnold,Peleg Arnold,Welcome Arnold,Directed,1787-07-11
5020,James Madison,James Madison,Edmund Randolph,Directed,1787-07-16
