Thomas McKean,Caesar Rodney,Sept. 19 1781
Thomas McKean,George Washington,Sept. 21 1781
James Lovell,George Washington,Sept. 21 1781
James Lovell,Nathanael Greene,Sept. 21 1781
Thomas McKean,Nathan Brownson,Sept. 24 1781
Thomas McKean,John Cochran,Sept. 25 1781
The Virginia Delegates,Thomas Nelson,Sept. 25 1781
Samuel Livermore,Meshech Weare,Sept. 25 1781
Thomas McKean,George Washington,Sept. 26 1781
The New York Delegates,George Clinton,Sept. 26 1781
Ezra L'Hommedieu,George Clinton,Sept. 26 1781
Thomas McKean,the Chevalier de la Luzerne,Sept. 28 1781
Elias Boudinot,William Livingston,Sept. 29 1781
John Mathews,George Washington,Oct. 1 1781
James Mitchell Varnum,George Washington,Oct. 2 1781
Samuel Livermore,Meshech Weare,Oct. 2 1781
James Lovell,Elbridge Gerry. Oct. 2 1781
James Madison,Edmund Pendleton,Oct. 2 1781
Abraham Clark,James Caldwell,Oct. 2 1781
Abraham Clark,James Caldwell,Oct. 3 1781
Elias Boudinot,Lewis Pintard,Oct. 3 1781
Roger Sherman,Jonathan Trumbull,Oct. 3 1781
Thomas McKean,the States of Pennsylvania and Virginia,Oct. 8 1781
The Virginia Delegates,Thomas Nelson,Oct. 9 1781
Edmund Randolph,Thomas Jefferson,Oct. 9 1781
George Walton,Thomas McKean,Oct. 10 1781
Edmund Randolph,the Virginia State Auditors,Oct. 11 1781
Thomas McKean,George Washington,Oct. 12 1781
Thomas McKean,George Washington,Oct. 13 1781
Thomas McKean,the Comte de Grasse,Oct. 13 1781
William Churchill Houston,Thomas McKean,Oct. 13 1781
The Maryland Delegates,Thomas Sim Lee,Oct. 13 1781
Thomas McKean,George Washington,Oct. 14 1781
James Lovell,George Washington,Oct. 14 1781
Thomas McKean,William Heath,Oct. 15 1781
Nicholas Van Dyke,Thomas Rodney,Oct. 15 1781
The Virginia Delegates,Thomas Nelson,Oct. 16 1781
James Madison,Edmund Pendleton,Oct. 16 1781
Abraham Clark,Elias Dayton,Oct. 16 1781
Roger Sherman,Jonathan Trumbull,Oct. 16 1781
Thomas McKean,George Washington,Oct. 18 1781
Thomas McKean,Benjamin Franklin,Oct. 18 1781
Elias Boudinot,William Livingston,Oct. 20 1781
The Virginia Delegates,Thomas Nelson,Oct. 23 1781
Edmund Randolph,Theodorick Bland,Oct. 23 1781
EUias Boudinot,Elisha Boudinot,Oct. 23 1781
Elias Boudinot,Lewis Pintard,Oct. 23 1781
Abrahant Gark,Josiah Hornblower,Oct. 23 1781
Elias Boudinot,Lewis Pintard,Oct. 24 1781
The Connecticut Delegates,Jonathan Trumbull,Oct. 25 1781
Samuel Livermore,Meshech Weare. Oct. 30 1781
James Madison,Edmund Pendleton,Oct. 30 1781
Thomas McKean,George Washington,Oct. 31 1781
Thomas McKean,the Comte de Rochambeau,Oct. 31 1781
Thomas McKean,the Comte de Grasse,Oct. 31 1781
Thomas McKean,Benjamin Lincoln,Oct. 31 1781
Charles Thomson,Benjamin Lincoln,Nov. 1 1781
Thomas McKean,Nathanael Greene,Nov. 2 1781
Elias Boudinot,John Stevens,Nov. 5 1781
Samuel Livermore,Meshech Weare,Nov. 6 1781
Richard Law,Jonathan Trumbull,Nov. 6 1781
The Virginia Delegates,Thomas Nelson,Nov. 7 1781
Edmund Randolph,Thomas Nelson,Nov. 7 1781
The President of Congress (John Hanson),George Washington,Nov. 10 1781
James Madison,Edmund Pendleton,Nov. 13 1781
Samuel Livermore,Meshech Weare,Nov, 13 1781
John Hanson,Certain States,Nov. 15 1781
James Madison,Thomas JeflFerson,Nov. 18 1781
William Ellery,William Greene,Nov. 18 1781
Oliver Wolcott,Mrs. Wolcott,Nov. 19 1781
The Virginia Delegates,Thomas Nelson,Nov. 20 1781
Charles Thomson,Robert Morris,Nov. 21 1781
The Connecticut Delegates,Jonathan Trumbull,Nov. 23 1781
John Hanson,the Marquis de Lafayette,Nov. 24 1781
Charles Thomson,Robert R. Livingston,Nov. 26 1781
James Madison,Edmund Pendleton,Nov. 27 1781
Samuel Livermore,Meshech Weare,Nov. 27 1781
Charles Thomson,George Washington,Nov. 28 1781
A Committee of Congress,George Washington,Nov. 28 1781
Samuel Osgood,William Heath,Nov. 30 1781
John Hanson,the Several States,Nov. 31 1781
The Georgia Delegates,John Jones,Dec. 3 1781
William Floyd,George Clinton,Dec. 3 1781
The Virginia Delegates,Thomas Nelson,Dec. 4 1781
James Lovell,Mrs. Abigail Adams,Dec. 4 1781
John Hanson,George Washington,Dec. 5 1781
Daniel Carroll,George Washington,Dec, 5 273 1781
Benjamin Hawkins,Abner Nash,Dec. 5 1781
William Floyd,George Clinton,Dec. 6 1781
The Rhode Island Delegates,William Greene,Dec. 6 1781
Samuel Livermore,Meshech Weare,Dec. 10 1781
James Madison,Edmund Pendleton,Dec. 11 1781
John Hanson,the Several States,Dec. 12 1781
James Lovell,Samuel Adams,Dec. 13 1781
John Hanson,Nathanael Greene,Dec. 14 1781
John Hanson,George Washington,Dec. 17 1781
Abraham Clark,John Mehelm,Dec. 17 1781
Samuel Livermore,Meshech Weare,Dec. 18 1781
The Virginia Delegates,Benjamin Harrison,Dec. 18 1781
The Rhode Island Delegates,William Greene,Dec. 18 1781
Oliver Wolcott,Jonathan Trumbull,Dec. 19 1781
George Partridge,Elbridge Gerry,Dec. 22 1781
Samuel Livermore,Meshech Weare,Dec. 25 1781
